A,B,p-value,Effect size
ran,ga1,0.343,"-0.26, S"
ran,ga2,0.303,"0.257, S"
ran,vr_ran,0.011,"0.65, L"
ran,vr_ga1,0.721,"0.113, N"
ran,vr_ga2,0.0,"-0.98, L"
ran,vo_ran,0.0,"-1.0, L"
ran,vo_ga1,0.0,"-1.0, L"
ran,vo_ga2,0.0,"-1.0, L"
ga1,ga2,0.078,"0.436, M"
ga1,vr_ran,0.004,"0.725, L"
ga1,vr_ga1,0.476,"0.212, S"
ga1,vr_ga2,0.001,"-0.88, L"
ga1,vo_ran,0.0,"-1.0, L"
ga1,vo_ga1,0.0,"-1.0, L"
ga1,vo_ga2,0.0,"-1.0, L"
ga2,vr_ran,0.044,"0.47, M"
ga2,vr_ga1,0.656,"-0.125, N"
ga2,vr_ga2,0.0,"-0.993, L"
ga2,vo_ran,0.0,"-1.0, L"
ga2,vo_ga1,0.0,"-1.0, L"
ga2,vo_ga2,0.0,"-1.0, L"
vr_ran,vr_ga1,0.03,"-0.594, L"
vr_ran,vr_ga2,0.0,"-1.0, L"
vr_ran,vo_ran,0.0,"-1.0, L"
vr_ran,vo_ga1,0.0,"-1.0, L"
vr_ran,vo_ga2,0.0,"-1.0, L"
vr_ga1,vr_ga2,0.001,"-0.95, L"
vr_ga1,vo_ran,0.0,"-1.0, L"
vr_ga1,vo_ga1,0.0,"-1.0, L"
vr_ga1,vo_ga2,0.0,"-1.0, L"
vr_ga2,vo_ran,0.0,"-1.0, L"
vr_ga2,vo_ga1,0.0,"-1.0, L"
vr_ga2,vo_ga2,0.0,"-1.0, L"
vo_ran,vo_ga1,0.377,"-0.236, S"
vo_ran,vo_ga2,0.005,"-0.76, L"
vo_ga1,vo_ga2,0.034,"-0.555, L"
