Number of failures,,,,Sparseness,,,
A,B,p-value,Effect size,A,B,p-value,Effect size
ran,ga1,0.025,"-0.6, L",ran,ga1,0.97,"-0.02, N"
ran,ga2,0.001,"-0.89, L",ran,ga2,0.076,"0.48, L"
ran,vr_ran,0.005,"0.71, L",ran,vr_ran,0.427,"-0.22, S"
ran,vr_ga1,0.444,"-0.21, S",ran,vr_ga1,0.734,"0.1, N"
ran,vr_ga2,0,"-1.0, L",ran,vr_ga2,0.93,"0.029, N"
ran,vo_ran,0,"-1.0, L",ran,vo_ran,0.241,"0.32, S"
ran,vo_ga1,0,"-1.0, L",ran,vo_ga1,0.006,"0.74, L"
ran,vo_ga2,0,"-1.0, L",ran,vo_ga2,0.254,"0.286, S"
ga1,ga2,0.288,"-0.29, S",ga1,ga2,0.031,"0.58, L"
ga1,vr_ran,0.001,"0.87, L",ga1,vr_ran,0.385,"-0.24, S"
ga1,vr_ga1,0.149,"0.39, M",ga1,vr_ga1,0.385,"0.24, S"
ga1,vr_ga2,0.168,"-0.343, M",ga1,vr_ga2,0.539,"0.157, S"
ga1,vo_ran,0.001,"-0.91, L",ga1,vo_ran,0.021,"0.62, L"
ga1,vo_ga1,0.001,"-0.91, L",ga1,vo_ga1,0.003,"0.8, L"
ga1,vo_ga2,0,"-1.0, L",ga1,vo_ga2,0.05,"0.486, L"
ga2,vr_ran,0,"1.0, L",ga2,vr_ran,0.089,"-0.46, M"
ga2,vr_ga1,0.009,"0.7, L",ga2,vr_ga1,0.089,"-0.46, M"
ga2,vr_ga2,0.953,"-0.021, N",ga2,vr_ga2,0.018,"-0.586, L"
ga2,vo_ran,0.001,"-0.91, L",ga2,vo_ran,0.186,"-0.36, M"
ga2,vo_ga1,0.001,"-0.86, L",ga2,vo_ga1,0.97,"-0.02, N"
ga2,vo_ga2,0,"-1.0, L",ga2,vo_ga2,0.135,"-0.371, M"
vr_ran,vr_ga1,0.002,"-0.81, L",vr_ran,vr_ga1,0.273,"0.3, S"
vr_ran,vr_ga2,0,"-1.0, L",vr_ran,vr_ga2,0.364,"0.229, S"
vr_ran,vo_ran,0,"-1.0, L",vr_ran,vo_ran,0.273,"0.3, S"
vr_ran,vo_ga1,0,"-1.0, L",vr_ran,vo_ga1,0.089,"0.46, M"
vr_ran,vo_ga2,0,"-1.0, L",vr_ran,vo_ga2,0.23,"0.3, S"
vr_ga1,vr_ga2,0.004,"-0.714, L",vr_ga1,vr_ga2,0.93,"-0.029, N"
vr_ga1,vo_ran,0,"-1.0, L",vr_ga1,vo_ran,0.064,"0.5, L"
vr_ga1,vo_ga1,0,"-0.96, L",vr_ga1,vo_ga1,0.011,"0.68, L"
vr_ga1,vo_ga2,0,"-1.0, L",vr_ga1,vo_ga2,0.188,"0.329, S"
vr_ga2,vo_ran,0,"-0.893, L",vr_ga2,vo_ran,0.013,"0.614, L"
vr_ga2,vo_ga1,0,"-0.886, L",vr_ga2,vo_ga1,0.001,"0.814, L"
vr_ga2,vo_ga2,0,"-1.0, L",vr_ga2,vo_ga2,0.057,"0.429, M"
vo_ran,vo_ga1,0.052,"-0.52, L",vo_ran,vo_ga1,0.045,"0.54, L"
vo_ran,vo_ga2,0,"-1.0, L",vo_ran,vo_ga2,0.578,"-0.143, N"
vo_ga1,vo_ga2,0.004,"-0.7, L",vo_ga1,vo_ga2,0.015,"-0.6, L"
