UAV use case,,,,,ADS use case,,,,
model,lr,batch_size,time,validation_loss,model,lr,batch_size,time,validation_loss
VAE3,0.001,512,1002.867,0.139,VAE3,0.001,512,932.173,0.104
VAE3,0.0001,512,1004.965,0.167,VAE1,0.001,512,883.375,0.109
VAE1,0.001,512,956.342,0.194,VAE2,0.001,512,907.156,0.111
VAE2,0.001,512,975.889,0.196,VAE3,0.0001,512,929.472,0.113
VAE1,0.0001,512,951.699,0.203,VAE1,0.0001,512,882.926,0.116
VAE2,0.0001,512,976.155,0.208,VAE2,0.0001,512,905.429,0.122
VAE3,0.001,128,1243.109,0.388,VAE3,0.001,128,1170.02,0.278
VAE3,0.0001,128,1245.899,0.429,VAE3,0.0001,128,1157.836,0.289
VAE1,0.001,128,1126.207,0.457,VAE2,0.001,128,1095.277,0.297
VAE2,0.001,128,1197.992,0.458,VAE1,0.001,128,1029.928,0.304
VAE1,0.0001,128,1132.144,0.471,VAE2,0.0001,128,1098.259,0.310
VAE2,0.0001,128,1192.6,0.488,VAE1,0.0001,128,1026.822,0.315
VAE3,0.001,64,1596.635,0.647,VAE3,0.001,64,1479.134,0.451
VAE3,0.0001,64,1553.379,0.681,VAE3,0.0001,64,1426.663,0.465
VAE2,0.001,64,1422.882,0.717,VAE2,0.001,64,1308.588,0.474
VAE1,0.001,64,1310.35,0.738,VAE1,0.001,64,1207.793,0.499
VAE1,0.0001,64,1310.201,0.744,VAE2,0.0001,64,1301.361,0.506
VAE2,0.0001,64,1428.394,0.748,VAE1,0.0001,64,1200.662,0.519
